Dr Dog/Fate,piano,2.5
Dr Dog/Fate,vocals,4
Dr Dog/Fate,beat,3.5
Dr Dog/Fate,blues,3
Dr Dog/Fate,guitar,5
Dr Dog/Fate,backup vocals,4
Dr Dog/Fate,rap,1
Phoenix/Lisztomania,piano,2
Phoenix/Lisztomania,vocals,5
Phoenix/Lisztomania,beat,5
Phoenix/Lisztomania,blues,3
Phoenix/Lisztomania,guitar,2
Phoenix/Lisztomania,backup vocals,1
Phoenix/Lisztomania,rap,1
Heartless Bastards/Out at Sea,piano,1
Heartless Bastards/Out at Sea,vocals,5
Heartless Bastards/Out at Sea,beat,4
Heartless Bastards/Out at Sea,blues,2
Heartless Bastards/Out at Sea,guitar,4
Heartless Bastards/Out at Sea,backup vocals,1
Heartless Bastards/Out at Sea,rap,1
Todd Snider/Don't Tempt Me,piano,4
Todd Snider/Don't Tempt Me,vocals,5
Todd Snider/Don't Tempt Me,beat,4
Todd Snider/Don't Tempt Me,blues,4
Todd Snider/Don't Tempt Me,guitar,1
Todd Snider/Don't Tempt Me,backup vocals,5
Todd Snider/Don't Tempt Me,rap,1
The Black Keys/Magic Potion,piano,1
The Black Keys/Magic Potion,vocals,4
The Black Keys/Magic Potion,beat,5
The Black Keys/Magic Potion,blues,3.5
The Black Keys/Magic Potion,guitar,5
The Black Keys/Magic Potion,backup vocals,1
The Black Keys/Magic Potion,rap,1
Glee Cast/Jessie's Girl,piano,1
Glee Cast/Jessie's Girl,vocals,5
Glee Cast/Jessie's Girl,beat,3.5
Glee Cast/Jessie's Girl,blues,3
Glee Cast/Jessie's Girl,guitar,4
Glee Cast/Jessie's Girl,backup vocals,5
Glee Cast/Jessie's Girl,rap,1
La Roux/Bulletproof,piano,5
La Roux/Bulletproof,vocals,5
La Roux/Bulletproof,beat,4
La Roux/Bulletproof,blues,2
La Roux/Bulletproof,guitar,1
La Roux/Bulletproof,backup vocals,1
La Roux/Bulletproof,rap,1
Mike Posner,piano,2.5
Mike Posner,vocals,4
Mike Posner,beat,4
Mike Posner,blues,1
Mike Posner,guitar,1
Mike Posner,backup vocals,1
Mike Posner,rap,1
Black Eyed Peas/Rock That Body,piano,2
Black Eyed Peas/Rock That Body,vocals,5
Black Eyed Peas/Rock That Body,beat,5
Black Eyed Peas/Rock That Body,blues,1
Black Eyed Peas/Rock That Body,guitar,2
Black Eyed Peas/Rock That Body,backup vocals,2
Black Eyed Peas/Rock That Body,rap,4
Lady Gaga/Alejandro,piano,1
Lady Gaga/Alejandro,vocals,5
Lady Gaga/Alejandro,beat,3
Lady Gaga/Alejandro,blues,2
Lady Gaga/Alejandro,guitar,1
Lady Gaga/Alejandro,backup vocals,2
Lady Gaga/Alejandro,rap,1
